termo,definicion
ampere-volta,Sb. A·volta. Unidade de forza magnetomotriz no SI que equivale ao campo producido por unha corrente de 1 ampere que circula por unha espira. V. gilbert.
amperímetro,Instrumento que mide a intensidade de corrente nun circuíto eléctrico.
amperio,Ampere.
amplificador,"Dispositivo que é capaz de producir un sinal de saída de idénticas características ao sinal que se lle subministra incrementando a súa intensidade ou tensión. Os primeiros amplificadores foron construídos con válvulas, logo usáronse os transistores e actualmente empréganse para este fin os circuítos integrados. V. ganancia."
amplificador de potencia,"Dispositivo que amplifica a tensión e a intensidade de corrente dun sinal, de aí o nome."
amplitude,Sb. A. Nun movemento oscilatorio valor máximo da elongación
analema,"Curva parecida a un 8 que se obtén ao recoller, durante un ano e cada mediodía local, a traxectoria da sombra que se produce nun reloxo de sol. Esta curva emprégase no cálculo da hora local media nun lugar, partindo da hora local real e expresa a  chamada compensación horaria ou ecuación do tempo. É a base dun tipo de reloxo de Sol que recibe o nome de reloxo analemático. 0figura0."
análise dimensional,"Método empregado para comprobar se unha ecuación, que expresa unha relación entre diferentes magnitudes físicas, pode ser válida ou non. Baséase no feito de que os dous membros dunha igualdade deben presentar as mesmas dimensións (expresión en base ás magnitudes fundamentais); de non ocorrer tal cousa, a ecuación non é válida. V. dimensións."
análise espectral,"Método de análise química fundado na observación do espectro de emisión producido pola chama dunha determinada mostra ou polo espectro de absorción dunha mostra interposta entre un foco de luz e o observador. Resulta de gran utilidade en astrofísica, para determinar a composición química e outros datos como a temperatura superficial das estrelas; de feito foi o estudio realizado por G. Kirchoff (1824-1887) e R.W. Bunsen (1811-1899) sobre as chamadas liñas de Fraunhofer, presentes no espectro de luz solar, a orixe deste tipo de análise. Actualmente, a análise espectral é a base de numerosas técnicas instrumentais como a absorción atómica ou a fotocolorimetría. V. Bohr, modelo atómico de."
análise matemática,"Estudio das funcións matemáticas empregando o cálculo infinitesimal e do que proveñen diferentes ramas da matemática como as ecuacións diferenciais e integrais, ou o cálculo de variacións. Pódese clasificar segundo diferentes criterios, resultando a análise vectorial, que trata con vectores, de gran importancia na física, e unha sección da mesma, a análise tensorial, que opera con tensores, de gran utilidade na teoría da relatividade."
analóxico,Dise de sinais que poden variar de forma continua. V. dixital; ordenador analóxico.
anamorfose,"En óptica, pintura ou debuxo que ofrece á vista unha imaxe deforme e confusa ou regular e acabada, segundo dende onde se mire. E, en xeral, imaxe máis ou menos deformada producida por algún sistema óptico."
anana branca,"Estado da evolución dunha estrela con masa próxima á do Sol e ao que chega na súa vellez. Nese estado a estrela é moitísimo máis densa e de radio moito máis pequeno que o Sol A gravitación, forza que goberna todas as fases estelares, é freada, neste estado tan compactado da materia, pola chamada presión de Fermi, de natureza cuántica. As ananas brancas están formadas maioritariamente por núcleos de helio ou de elementos máis pesados e os electróns libres, correspondentes á estes átomos. Estes electróns, como todos os fermións, cumpren o principio de exclusión de Pauli, ofrecendo unha gran resistencia a ser compactados, o que orixina a presión de Fermi e fai que estes aparezan completamente dexenerados. Para estrelas cunha masa superior a uns 1,4 veces a masa do Sol (masa de Chandrasekhar), a presión de Fermi resulta insuficiente para deter o colapso gravitatorio e a estrela evoluciona a unha estrela de neutróns, ou ata convertirse nun buraco negro. V. estrela; Fermi-Dirac, estatística. de."
anana marrón,"Astro de tan pouca masa (sempre inferior á 0,3 veces a masa do Sol), que non chegan a producirse os procesos evolutivos típicos das estrelas que chegan á Secuencia Principal. A contracción gravitatoria, que levaría a un aumento de temperatura suficiente como para producir emisión de luz visible, non ten lugar pois é contrarrestada axiña pola dexeneración do material do astro. Así pois, os núcleos destas estrelas están parcialmente dexenerados, de igual forma que o dos planetas xigantes como Xúpiter e Saturno, compostos fundamentalmente de hidróxeno metálico. V. xupíteres."
ancho de banda,"Intervalo de frecuencias correspondente a un determinado sinal, como un feixe de luz u outro tipo de radiación, unha transmisión telefónica, a voz humana, etc. V. ancho natural."
ancho de banda,"Intervalo de frecuencias no que funciona un determinado dispositivo (filtro, amplificador, etc)."
ancho de banda,En telecomunicación mide a cantidade de información que pode transmitir unha determinada canle nun certo tempo.
ancho espectral,Ancho de banda.
ancho natural,Ancho espectral mínimo con que se pode obter luz dun sistema emisor. Este mínimo limita a posibilidade de obter unha verdadeira luz monocromática debido ao principio de incertidume de Heisenberg. V. láser; emisión estimulada.
"Andrews, isotermas de","Diagrama P-V froito das experiencias por T. Andrews en 1869 con dióxido de carbono. Mediu experimentalmente a presión que soportaba un recinto cheo de CO2 a diferentes temperaturas. Como resultado obtivo que por debaixo de 30,8 ºC podía pasar da fase gas á líquida comprimindo a substancia, nun proceso que tiña tres tramos moi diferenciados. O lugar xeométrico dos puntos das isotermas nos que toda a masa está como vapor saturado ou líquido saturado coñécese como curva de saturación. A 30,8ºC, temperatura denominada crítica, ten lugar a transición sen que varíe o volume das fases ou se libere calor algunha. Por encima de 30,8ºC non se pode conseguir CO2 líquido a partir do gas por simple compresión isoterma. 0figura0."
anecoide,"Lugar cun baixo nivel de reverberación. Unha cámara anecoide, útil para experimentos de acústica, constrúese empregando nas paredes materiais absorbentes do son."
aneis de difracción,"Conxunto de aneis, brillantes e escuros, alternantes arredor dun disco brillante central, obtido nunha pantalla por difracción de Fraunhofer."
aneis planetarios,"Conxunto de multitude de partículas sólidas, de diferente composición e tamaño, que se atopan xirando arredor dalgúns planetas seguindo as leis de Kepler. No Sistema Solar presentan aneis Saturno e Urano. No caso de Saturno, o conxunto de aneis exténdese entre os 13 000 e 76 000 km de distancia da superficie ecuatorial. Algúns aneis, como os chamados A, B, C e D, son visibles dende a Terra; foron descubertos cos primeiros telescopios do s. XVII e correctamente descritos por C. Huygens no 1655. Presentan miles de divisións, sendo as máis importantes a de Cassini, que separa os aneis A e B, e a de Encke, dentro do anel A. Están formados por pó finísimo e partículas maiores de xeo, especialmente de amoníaco e de metano. Visto dende a Terra, o maior brillo dos aneis acádase pouco antes ou pouco despois da oposición de Saturno. Urano presenta unha decena de aneis, descubertos despois do 1977. Moitas agrupacións de partículas manteñen a súa estructura estable gracias aos chamados satélites pastores, que controlan gravitatoriamente o movemento das mesmas. V. Sistema Solar; Saturno; Urano."
anemómetro,Dispositivo que sirve para medir a velocidade do aire. Os de copa relacionan a velocidade coa que rota un conxunto de pas ao redor dun eixo central coa velocidade do vento que as fai xirar. Os térmicos miden a velocidade do aire en base ao cambio de resistencia que experimenta un arame conductor ao arrefriarse polo paso ao seu redor do fluxo de aire.
angstrom,"Sb.. Unidade de lonxitude equivalente a 10-10 m (= 0,1 nm), empregada fundamentalmente en física atómica e molecular."
ángulo aparente dun obxecto,Ángulo baixo o cal se ven os seus extremos. Canto maior é este ángulo maior é a imaxe que se forma na retina e maior parece o obxecto.
ángulo de avance,"Aquel que forma a liña de avance dun parafuso respecto ao plano perpendicular ao eixe de xiro. Lembrando que o parafuso é o resultado de arrolar un plano inclinado ao redor dun cilindro, a tanxente do ángulo de avance é igual ao paso de rosca dividido pola lonxitude da circunferencia descrita no xiro. V. parafuso."
ángulo de contacto,"Sb. c. Na superficie libre dun líquido, ángulo formado pola tanxente ao menisco coa parede do recipiente. É característico de cada parella sólido-líquido e o seu valor dá unha idea da relación que existe nese medio entre as forzas de cohesión, C, que se establecen entre as moléculas do líquido e as forzas de adhesión, A, entre estas e as moléculas do recipiente. Se A&gt;&gt;C c é case cero; se A=C c vale 90º. En ambos casos o menisco formado é cóncavo e dise que o líquido “molla” as paredes. Un exemplo constitúeo a interface auga-vidro. Sen embargo se C&gt;A c&gt;90º, o menisco é convexo e dise que o líquido “non molla” as paredes, como ocorre na interface mercurio-vidro. A combinación destes dous tipos de forzas coa tensión superficial é a responsable dos fenómenos de capilaridade. 0figura0."
